ID,Sentences,niveau1,niveau2,niveau3,combined_labels,Sentences_clean
4,Je suis un homme de 55 ans et appareillé depuis 3 ans d'un PPC.,partage_experience,symptome,non,partage_experience_symptome_non,homme NUM an appareillé depuis NUM an ppc
6,Peut-on imaginer que l'action de l'appareil PPC puisse avoir des effet secondaires du à la pression insuflée dans le corps?,recherche_information,traitement,non,recherche_information_traitement_non,peut imaginer action appareil ppc puisse avoir effet secondaires pression insuflée corp
8,"Ci-dessous, les actions déjà entreprises pour identifier les causes de ce constat :",partage_experience,traitement,non,partage_experience_traitement_non,ci dessous action déjà entreprises identifier cause constat
15,"Question général : Peut-on affirmer, sans détour, que l'appareil PPC ne peut en aucun cas générer de douleurs telles que je les ai décrites ?",recherche_information,traitement,non,recherche_information_traitement_non,question général peut affirmer détour appareil ppc peut aucun ca générer douleurs telles décrites
17,"En vous remerciant par avance, pour votre réponse,",fonction_phatique,NA_CATEGORY,non,fonction_phatique_NA_CATEGORY_non,remerciant avance réponse
21,L'apparition de vos douleurs depuis l'appareillage sont certainement dues à un changement de position pour dormir en raison du masque.,partage_experience,diagnostique,non,partage_experience_diagnostique_non,apparition douleurs depuis appareillage certainement due changement position dormir raison masque
23,Je pense que je ne dors plus comme avant et peut être moins décontractée.,partage_experience,symptome,negatif,partage_experience_symptome_negatif,pense dors plus comme avant peut être moins décontractée
24,Bon courage à vous,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,bon courage
32,Votre post m’a rassuré car visiblement je ne suis pas le seul dans ce cas.,partage_experience,symptome,positif,partage_experience_symptome_positif,post a rassuré visiblement pa seul ca
38,A suivre donc (six mois d’attente pour un rendez-vous alors même que j’habite une grande métropole)...,partage_experience,traitement,negatif,partage_experience_traitement_negatif,a suivre six mois attente rendez alors habite grande métropole
41,"D'abord je tiens à m'excuser si ce sujet a déjà été abordé ou s'il s'avère être hors-sujet, mais je ne savais pas trop où poster.",recherche_information,NA_CATEGORY,non,RARE_CLASS,abord tiens excuser si sujet a déjà abordé avère être hors sujet savais pa trop où poster
75,Mais c moins grav que ça n'y parait.,partage_experience,diagnostique,positif,partage_experience_diagnostique_positif,moins grav parait
91,Je me permets de citer une personne sur doctissimo il y a 5 ans :,partage_experience,NA_CATEGORY,non,RARE_CLASS,permets citer personne doctissimo a NUM an
98,"Respiration lente et contrôlée au maximum pendant deux-trois jours et mon cauchemar s'est arrêté.""",partage_experience,traitement,positif,partage_experience_traitement_positif,respiration lente contrôlée maximum pendant deux trois jours cauchemar arrêté
154,Une heure après l'endormissent ?,recherche_information,symptome,non,recherche_information_symptome_non,heure après endormissent
201,Je m'étonne d'ailleurs que ce soit toi qui aies dû t'en apercevoir...,partage_experience,diagnostique,negatif,partage_experience_diagnostique_negatif,étonne ailleurs dû apercevoir
238,:-(,fonction_phatique,NA_CATEGORY,negatif,fonction_phatique_NA_CATEGORY_negatif,EMOJI SAD
307,Merci pour vos réponse et bon dimanche,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,merci réponse bon dimanche
326,;) merci à vous.,fonction_phatique,NA_CATEGORY,positif,fonction_phatique_NA_CATEGORY_positif,EMOJI WINK merci
475,elle va surement devoir passer d'autres examens pour confirmer le diagnostique ???,recherche_information,traitement,negatif,RARE_CLASS,va surement devoir passer autres examen confirmer diagnostique
481,"Je sais pas quoi faire d'autre, es ce que je fait bien, ou pas ....",recherche_information,symptome,negatif,recherche_information_symptome_negatif,sais pa faire autre e fait bien pa
505,"Verdict : il ne sait pas de quoi souffre ma fille, d'apnée du sommeil sévère oui, mais a cause de quoi ?",recherche_information,diagnostique,negatif,RARE_CLASS,verdict sait pa souffre fille apnée sommeil sévère oui a cause
526,Est ce que ça va remonté?,recherche_information,diagnostique,non,recherche_information_diagnostique_non,va remonté
